Samples,Total_no_of_read
368257238,441513
368257968,6137371
368258054,1794329
368259600,2397440
368259989,6486810
368273379,3730160
368281318,2851412
368281322,1496154
368281337,1225754
368281369,5457282
368281370,907174
368281482,5112232
368281490,7314928
368281495,6307599
368281511,10132285
368281532,2555890
368246110,8943782
368253732,11530804
368258345,7438425
368258351,5723807
368258353,6744363
368258369,6878396
368258383,7275716
368258384,637707
368258393,6610649
368258417,4416381
368258423,7163138
368258424,417757
368258431,7706800
368259698,3334353
368259701,2156282
368259706,7559655
368259707,6114749
368259710,1106067
368259717,959695
368259718,1656915
368259737,4407434
368259760,6675378
368259764,1390679
368259770,7256608
368259776,7524716
368260393,6385754
368297838,1232670
368297861,6720967
368297885,430239
368299257,9911130
368299282,6276148
