Samples,select object,is_kiosk,is_Bannister,is_Rod,is_Ticket_Counter
368257968,Bannister,Other,Bannister,Other,Other
368273379,Rod,Other,Other,Rod,Other
368281532,Ticket Counter,Other,Other,Other,Ticket_Counter
368281511,Kiosk,Kiosk,Other,Other,Other
368281318,Ticket Counter,Other,Other,Other,Ticket_Counter
368281369,Ticket Counter,Other,Other,Other,Ticket_Counter
368257238,Bannister,Other,Bannister,Other,Other
368259600,Rod,Other,Other,Rod,Other
368281495,Kiosk,Kiosk,Other,Other,Other
368281337,Bannister,Other,Bannister,Other,Other
368259989,Ticket Counter,Other,Other,Other,Ticket_Counter
368258054,Bannister,Other,Bannister,Other,Other
368281482,Rod,Other,Other,Rod,Other
368281322,Kiosk,Kiosk,Other,Other,Other
368281370,Ticket Counter,Other,Other,Other,Ticket_Counter
368281490,Kiosk,Kiosk,Other,Other,Other
368258353,Kiosk,Kiosk,Other,Other,Other
368259710,Rod,Other,Other,Rod,Other
368259764,Ticket Counter,Other,Other,Other,Ticket_Counter
368258417,Kiosk,Kiosk,Other,Other,Other
368253732,Bannister,Other,Bannister,Other,Other
368259707,Bannister,Other,Bannister,Other,Other
368258383,Ticket Counter,Other,Other,Other,Ticket_Counter
368299257,Kiosk,Kiosk,Other,Other,Other
368259760,Ticket Counter,Other,Other,Other,Ticket_Counter
368259706,Ticket Counter,Other,Other,Other,Ticket_Counter
368258369,Kiosk,Kiosk,Other,Other,Other
368299282,Bannister,Other,Bannister,Other,Other
368258393,Rod,Other,Other,Rod,Other
368259770,Ticket Counter,Other,Other,Other,Ticket_Counter
368259717,Kiosk,Kiosk,Other,Other,Other
368297861,Bannister,Other,Bannister,Other,Other
368258431,Kiosk,Kiosk,Other,Other,Other
368260393,Bannister,Other,Bannister,Other,Other
368259737,Ticket Counter,Other,Other,Other,Ticket_Counter
368259701,Kiosk,Kiosk,Other,Other,Other
368258345,Rod,Other,Other,Rod,Other
368258423,Kiosk,Kiosk,Other,Other,Other
368259698,Ticket Counter,Other,Other,Other,Ticket_Counter
368297838,Kiosk,Kiosk,Other,Other,Other
368258424,Kiosk,Kiosk,Other,Other,Other
368259776,Rod,Other,Other,Rod,Other
368258351,Ticket Counter,Other,Other,Other,Ticket_Counter
368246110,Kiosk,Kiosk,Other,Other,Other
368258384,Bannister,Other,Bannister,Other,Other
368259718,Ticket Counter,Other,Other,Other,Ticket_Counter
368297885,Elevator,Other,Other,Other,Other
